year	month	day	symbol	nav
2003	1	7	LXK75	0.62889
2003	1	8	LXK75	0.62761
2003	1	9	LXK75	0.62506
2003	1	10	LXK75	0.62633
2003	1	11	LXK75	0.62506
2003	1	12	LXK75	0.62506
2003	1	13	LXK75	0.6257
2003	1	14	LXK75	0.62633
2003	1	15	LXK75	0.62697
2003	1	16	LXK75	0.62378
2003	1	17	LXK75	0.62378
2003	1	18	LXK75	0.62378
2003	1	19	LXK75	0.62378
2003	1	20	LXK75	0.6193
2003	1	21	LXK75	0.61803
2003	1	22	LXK75	0.61483
2003	1	23	LXK75	0.61227
2003	1	24	LXK75	0.61227
2003	1	25	LXK75	0.61227
2003	1	26	LXK75	0.61227
2003	1	27	LXK75	0.6078
2003	1	28	LXK75	0.60141
2003	1	29	LXK75	0.60269
2003	1	30	LXK75	0.60269
2003	1	31	LXK75	0.60524
2003	2	1	LXK75	0.60269
2003	2	2	LXK75	0.60269
2003	2	3	LXK75	0.60524
2003	2	4	LXK75	0.6078
2003	2	5	LXK75	0.60333
2003	2	6	LXK75	0.6046
2003	2	7	LXK75	0.60141
2003	2	8	LXK75	0.6046
2003	2	9	LXK75	0.6046
2003	2	10	LXK75	0.60077
2003	2	11	LXK75	0.60077
2003	2	12	LXK75	0.60269
2003	2	13	LXK75	0.60077
2003	2	14	LXK75	0.59885
2003	2	15	LXK75	0.60077
2003	2	16	LXK75	0.60077
2003	2	17	LXK75	0.60269
2003	2	18	LXK75	0.6046
2003	2	19	LXK75	0.6078
2003	2	20	LXK75	0.60524
2003	2	21	LXK75	0.60524
2003	2	22	LXK75	0.60524
2003	2	23	LXK75	0.60524
2003	2	24	LXK75	0.60524
2003	2	25	LXK75	0.60205
2003	2	26	LXK75	0.59821
2003	2	27	LXK75	0.59694
2003	2	28	LXK75	0.59757
2003	3	1	LXK75	0.59694
2003	3	2	LXK75	0.59694
2003	3	3	LXK75	0.60013
2003	3	4	LXK75	0.59949
2003	3	5	LXK75	0.59502
2003	3	6	LXK75	0.59374
2003	3	7	LXK75	0.59182
2003	3	8	LXK75	0.59374
2003	3	9	LXK75	0.59374
2003	3	10	LXK75	0.58991
2003	3	11	LXK75	0.58543
2003	3	12	LXK75	0.58415
2003	3	13	LXK75	0.58224
2003	3	14	LXK75	0.58415
2003	3	15	LXK75	0.58224
2003	3	16	LXK75	0.58224
2003	3	17	LXK75	0.59502
2003	3	18	LXK75	0.60141
2003	3	19	LXK75	0.60141
2003	3	20	LXK75	0.60397
2003	3	21	LXK75	0.6046
2003	3	22	LXK75	0.60397
2003	3	23	LXK75	0.60397
2003	3	24	LXK75	0.60908
2003	3	25	LXK75	0.60205
2003	3	26	LXK75	0.60269
2003	3	27	LXK75	0.60333
2003	3	28	LXK75	0.60013
2003	3	29	LXK75	0.60333
2003	3	30	LXK75	0.60333
2003	3	31	LXK75	0.59885
2003	4	1	LXK75	0.59374
2003	4	2	LXK75	0.5963
2003	4	3	LXK75	0.60205
2003	4	4	LXK75	0.60397
2003	4	5	LXK75	0.60205
2003	4	6	LXK75	0.60205
2003	4	7	LXK75	0.60588
2003	4	8	LXK75	0.60908
2003	4	9	LXK75	0.6078
2003	4	10	LXK75	0.60716
2003	4	11	LXK75	0.60397
2003	4	12	LXK75	0.60716
2003	4	13	LXK75	0.60716
2003	4	14	LXK75	0.6046
2003	4	15	LXK75	0.60716
2003	4	16	LXK75	0.60972
2003	4	17	LXK75	0.60972
2003	4	19	LXK75	0.60972
2003	4	20	LXK75	0.60972
2003	4	21	LXK75	0.6078
2003	4	22	LXK75	0.60972
2003	4	23	LXK75	0.61227
2003	4	24	LXK75	0.61483
2003	4	25	LXK75	0.61163
2003	4	26	LXK75	0.61483
2003	4	27	LXK75	0.61483
2003	4	28	LXK75	0.61036
2003	4	29	LXK75	0.61227
2003	4	30	LXK75	0.61163
2003	5	2	LXK75	0.61163
2003	5	3	LXK75	0.61163
2003	5	4	LXK75	0.61163
2003	5	5	LXK75	0.61291
2003	5	6	LXK75	0.61291
2003	5	7	LXK75	0.61739
2003	5	8	LXK75	0.61611
2003	5	9	LXK75	0.611
2003	5	10	LXK75	0.61611
2003	5	11	LXK75	0.61611
2003	5	12	LXK75	0.61291
2003	5	13	LXK75	0.61419
2003	5	14	LXK75	0.61483
2003	5	15	LXK75	0.61611
2003	5	16	LXK75	0.61739
2003	5	17	LXK75	0.61611
2003	5	18	LXK75	0.61611
2003	5	19	LXK75	0.61739
2003	5	20	LXK75	0.61036
2003	5	21	LXK75	0.61163
2003	5	22	LXK75	0.611
2003	5	23	LXK75	0.61291
2003	5	24	LXK75	0.611
2003	5	25	LXK75	0.611
2003	5	26	LXK75	0.61227
2003	5	27	LXK75	0.61227
2003	5	28	LXK75	0.61227
2003	5	29	LXK75	0.61163
2003	5	30	LXK75	0.61867
2003	5	31	LXK75	0.61163
2003	6	1	LXK75	0.61163
2003	6	2	LXK75	0.6193
2003	6	3	LXK75	0.62186
2003	6	4	LXK75	0.62378
2003	6	5	LXK75	0.62442
2003	6	6	LXK75	0.62506
2003	6	7	LXK75	0.62442
2003	6	8	LXK75	0.62442
2003	6	9	LXK75	0.62697
2003	6	10	LXK75	0.62761
2003	6	11	LXK75	0.62953
2003	6	12	LXK75	0.63145
2003	6	13	LXK75	0.63273
2003	6	14	LXK75	0.63145
2003	6	15	LXK75	0.63145
2003	6	16	LXK75	0.63145
