year	month	party	membership	donation	government	loan	sum	kvartal	exp	total	balance
2014	3	kesk	12409	33766	347107	0	393282	-9.55	174558	218724	218724
2014	6	kesk	12604	60144	347107	0	419855	8.53	432650	-12795	205929
2014	9	kesk	8408	22716	347107	0	378231	-30.34	227742	150489	356418
2014	12	kesk	17568	36566	347107	0	401241	-6.65	283276	117965	474383
2015	3	kesk	7933	163436	347107	0	518476	31.83	1087966	-569490	-95107
2015	6	kesk	19149	50110	361738	0	430997	2.65	279512	151485	56378
2015	9	kesk	14431	13634	361738	0	389803	3.06	292391	97412	153790
2015	12	kesk	21016	17266	361738	0	400020	-0.31	365500	34520	188310
2014	3	ref	6889	74128	440558	0	521575	2.8	383512	138063	138063
2014	6	ref	2991	138065	440558	0	581614	11.56	677018	-95404	42659
2014	9	ref	1861	127558	440558	0	569977	-11.71	330140	239837	282496
2014	12	ref	12859	124675	440558	0	578092	-6.77	645408	-67316	215180
2015	3	ref	3112	399183	440558	0	842853	61.6	1420468	-577615	-362435
2015	6	ref	6393	71465	401932	0	479790	-21.22	821451	-341661	-704096
2015	9	ref	651	50169	401932	0	452752	-25.89	225997	226755	-477341
2015	12	ref	2100	64063	401932	0	468095	-23.5	241871	226224	-251117
2014	3	irl	6286	16471	307055	0	329812	2.33	325203	4609	4609
2014	6	irl	887	67725	307055	0	375667	-9.82	741020	-365353	-360744
2014	9	irl	763	97167	307055	0	404985	-29.18	216896	188089	-172655
2014	12	irl	2088	183095	307055	0	492238	5.03	727037	-234799	-407454
2015	3	irl	1622	265472	307055	0	574149	74.08	1190821	-616672	-1024126
2015	6	irl	4007	82971	187568	0	274546	-36.83	122375	152171	-871955
2015	9	irl	548	71395	187568	0	259511	-56.06	87577	171934	-700021
2015	12	irl	1967	74485	187568	0	264020	-86.44	103580	160440	-539581
2014	3	sde	11512	22531	253655	0	287698	3.51	247918	39780	39780
2014	6	sde	5480	21286	253655	0	280421	-0.77	369163	-88742	-48962
2014	9	sde	7061	61673	253655	0	322389	-9.11	163622	158767	109805
2014	12	sde	10001	98513	253655	0	362169	-2.75	360120	2049	111854
2015	3	sde	9273	274404	253655	150000	687332	138.91	1149560	-462228	-350374
2015	6	sde	7545	100481	200966	100000	308992	10.19	158141	150851	-199523
2015	9	sde	3836	51381	200966	0	256183	-25.84	120763	135420	-64103
2015	12	sde	7194	37765	200966	0	245925	-47.27	152683	93242	29139
