day	month	year	symbol	nav
07	1	2003	SPK50	0.67619
08	1	2003	SPK50	0.67427
09	1	2003	SPK50	0.67363
10	1	2003	SPK50	0.67427
11	1	2003	SPK50	0.67363
12	1	2003	SPK50	0.67363
13	1	2003	SPK50	0.67427
14	1	2003	SPK50	0.67682
15	1	2003	SPK50	0.67746
16	1	2003	SPK50	0.67746
17	1	2003	SPK50	0.67619
18	1	2003	SPK50	0.67746
19	1	2003	SPK50	0.67746
20	1	2003	SPK50	0.67491
21	1	2003	SPK50	0.67427
22	1	2003	SPK50	0.67299
23	1	2003	SPK50	0.67363
24	1	2003	SPK50	0.67363
25	1	2003	SPK50	0.67363
26	1	2003	SPK50	0.67363
27	1	2003	SPK50	0.67171
28	1	2003	SPK50	0.67235
29	1	2003	SPK50	0.67427
30	1	2003	SPK50	0.67555
31	1	2003	SPK50	0.67427
01	2	2003	SPK50	0.67555
02	2	2003	SPK50	0.67555
03	2	2003	SPK50	0.67746
04	2	2003	SPK50	0.67427
05	2	2003	SPK50	0.67427
06	2	2003	SPK50	0.67235
07	2	2003	SPK50	0.67235
08	2	2003	SPK50	0.67235
09	2	2003	SPK50	0.67235
10	2	2003	SPK50	0.67427
11	2	2003	SPK50	0.67619
12	2	2003	SPK50	0.67363
13	2	2003	SPK50	0.67363
14	2	2003	SPK50	0.67491
15	2	2003	SPK50	0.67363
16	2	2003	SPK50	0.67363
17	2	2003	SPK50	0.67619
18	2	2003	SPK50	0.67619
19	2	2003	SPK50	0.67491
20	2	2003	SPK50	0.67427
21	2	2003	SPK50	0.67491
22	2	2003	SPK50	0.67427
23	2	2003	SPK50	0.67427
24	2	2003	SPK50	0.67427
25	2	2003	SPK50	0.67171
26	2	2003	SPK50	0.66979
27	2	2003	SPK50	0.66916
28	2	2003	SPK50	0.67043
01	3	2003	SPK50	0.66916
02	3	2003	SPK50	0.66916
03	3	2003	SPK50	0.67043
04	3	2003	SPK50	0.66724
05	3	2003	SPK50	0.6666
06	3	2003	SPK50	0.66596
07	3	2003	SPK50	0.6634
08	3	2003	SPK50	0.66596
09	3	2003	SPK50	0.66596
10	3	2003	SPK50	0.6634
11	3	2003	SPK50	0.66276
12	3	2003	SPK50	0.66213
13	3	2003	SPK50	0.66724
14	3	2003	SPK50	0.66979
15	3	2003	SPK50	0.66724
16	3	2003	SPK50	0.66724
17	3	2003	SPK50	0.67171
18	3	2003	SPK50	0.67363
19	3	2003	SPK50	0.67299
20	3	2003	SPK50	0.67491
21	3	2003	SPK50	0.6781
22	3	2003	SPK50	0.67491
23	3	2003	SPK50	0.67491
24	3	2003	SPK50	0.67427
25	3	2003	SPK50	0.67555
26	3	2003	SPK50	0.67619
27	3	2003	SPK50	0.67682
28	3	2003	SPK50	0.67746
29	3	2003	SPK50	0.67682
30	3	2003	SPK50	0.67682
31	3	2003	SPK50	0.67619
01	4	2003	SPK50	0.67682
02	4	2003	SPK50	0.67874
03	4	2003	SPK50	0.67938
04	4	2003	SPK50	0.6813
05	4	2003	SPK50	0.67938
06	4	2003	SPK50	0.67938
07	4	2003	SPK50	0.68577
08	4	2003	SPK50	0.68577
09	4	2003	SPK50	0.68577
10	4	2003	SPK50	0.68386
11	4	2003	SPK50	0.68386
12	4	2003	SPK50	0.68386
13	4	2003	SPK50	0.68386
14	4	2003	SPK50	0.68577
15	4	2003	SPK50	0.68769
16	4	2003	SPK50	0.68769
17	4	2003	SPK50	0.68705
18	4	2003	SPK50	0.68769
19	4	2003	SPK50	0.68769
20	4	2003	SPK50	0.68769
21	4	2003	SPK50	0.68897
22	4	2003	SPK50	0.68897
23	4	2003	SPK50	0.69025
24	4	2003	SPK50	0.68897
25	4	2003	SPK50	0.68961
26	4	2003	SPK50	0.68897
27	4	2003	SPK50	0.68897
28	4	2003	SPK50	0.68897
29	4	2003	SPK50	0.69089
30	4	2003	SPK50	0.69089
01	5	2003	SPK50	0.69089
02	5	2003	SPK50	0.69152
03	5	2003	SPK50	0.69089
04	5	2003	SPK50	0.69089
05	5	2003	SPK50	0.6928
06	5	2003	SPK50	0.69472
07	5	2003	SPK50	0.69408
08	5	2003	SPK50	0.69216
09	5	2003	SPK50	0.69344
10	5	2003	SPK50	0.69216
11	5	2003	SPK50	0.69216
12	5	2003	SPK50	0.6928
13	5	2003	SPK50	0.69344
14	5	2003	SPK50	0.69408
15	5	2003	SPK50	0.69472
16	5	2003	SPK50	0.69728
17	5	2003	SPK50	0.69472
18	5	2003	SPK50	0.69472
19	5	2003	SPK50	0.69536
20	5	2003	SPK50	0.69472
21	5	2003	SPK50	0.69472
22	5	2003	SPK50	0.69472
23	5	2003	SPK50	0.69536
24	5	2003	SPK50	0.69472
25	5	2003	SPK50	0.69472
26	5	2003	SPK50	0.69472
27	5	2003	SPK50	0.696
28	5	2003	SPK50	0.69472
29	5	2003	SPK50	0.69536
30	5	2003	SPK50	0.69664
31	5	2003	SPK50	0.69536
01	6	2003	SPK50	0.69536
02	6	2003	SPK50	0.69728
03	6	2003	SPK50	0.69792
04	6	2003	SPK50	0.69855
05	6	2003	SPK50	0.69919
06	6	2003	SPK50	0.69919
07	6	2003	SPK50	0.69919
08	6	2003	SPK50	0.69919
09	6	2003	SPK50	0.70111
10	6	2003	SPK50	0.70111
11	6	2003	SPK50	0.70367
12	6	2003	SPK50	0.70431
13	6	2003	SPK50	0.70431
14	6	2003	SPK50	0.70431
15	6	2003	SPK50	0.70431
16	6	2003	SPK50	0.70495
