year	month	day	symbol	nav
2003	1	7	SPK00	0.6519
2003	1	8	SPK00	0.65254
2003	1	9	SPK00	0.65318
2003	1	10	SPK00	0.65382
2003	1	11	SPK00	0.65318
2003	1	12	SPK00	0.65318
2003	1	13	SPK00	0.65318
2003	1	14	SPK00	0.65318
2003	1	15	SPK00	0.65318
2003	1	16	SPK00	0.65318
2003	1	17	SPK00	0.65509
2003	1	18	SPK00	0.65318
2003	1	19	SPK00	0.65318
2003	1	20	SPK00	0.65573
2003	1	21	SPK00	0.65573
2003	1	22	SPK00	0.65573
2003	1	23	SPK00	0.65573
2003	1	24	SPK00	0.65701
2003	1	25	SPK00	0.65573
2003	1	26	SPK00	0.65573
2003	1	27	SPK00	0.65765
2003	1	28	SPK00	0.65765
2003	1	29	SPK00	0.65765
2003	1	30	SPK00	0.65701
2003	1	31	SPK00	0.65829
2003	2	1	SPK00	0.65701
2003	2	2	SPK00	0.65701
2003	2	3	SPK00	0.65765
2003	2	4	SPK00	0.65829
2003	2	5	SPK00	0.65765
2003	2	6	SPK00	0.65829
2003	2	7	SPK00	0.65893
2003	2	8	SPK00	0.65829
2003	2	9	SPK00	0.65829
2003	2	10	SPK00	0.65957
2003	2	11	SPK00	0.65957
2003	2	12	SPK00	0.66021
2003	2	13	SPK00	0.66085
2003	2	14	SPK00	0.66085
2003	2	15	SPK00	0.66085
2003	2	16	SPK00	0.66085
2003	2	17	SPK00	0.66021
2003	2	18	SPK00	0.66021
2003	2	19	SPK00	0.66085
2003	2	20	SPK00	0.66149
2003	2	21	SPK00	0.66213
2003	2	22	SPK00	0.66149
2003	2	23	SPK00	0.66149
2003	2	24	SPK00	0.66149
2003	2	25	SPK00	0.66276
2003	2	26	SPK00	0.66149
2003	2	27	SPK00	0.66149
2003	2	28	SPK00	0.66085
2003	3	1	SPK00	0.66149
2003	3	2	SPK00	0.66149
2003	3	3	SPK00	0.66149
2003	3	4	SPK00	0.66213
2003	3	5	SPK00	0.66213
2003	3	6	SPK00	0.66276
2003	3	7	SPK00	0.6634
2003	3	8	SPK00	0.66276
2003	3	9	SPK00	0.66276
2003	3	10	SPK00	0.66404
2003	3	11	SPK00	0.66404
2003	3	12	SPK00	0.6634
2003	3	13	SPK00	0.66085
2003	3	14	SPK00	0.65957
2003	3	15	SPK00	0.66085
2003	3	16	SPK00	0.66085
2003	3	17	SPK00	0.65957
2003	3	18	SPK00	0.65701
2003	3	19	SPK00	0.65573
2003	3	20	SPK00	0.65701
2003	3	21	SPK00	0.65637
2003	3	22	SPK00	0.65701
2003	3	23	SPK00	0.65701
2003	3	24	SPK00	0.65637
2003	3	25	SPK00	0.65701
2003	3	26	SPK00	0.65637
2003	3	27	SPK00	0.65829
2003	3	28	SPK00	0.65893
2003	3	29	SPK00	0.65829
2003	3	30	SPK00	0.65829
2003	3	31	SPK00	0.66085
2003	4	1	SPK00	0.66213
2003	4	2	SPK00	0.66021
2003	4	3	SPK00	0.65893
2003	4	4	SPK00	0.65893
2003	4	5	SPK00	0.65893
2003	4	6	SPK00	0.65893
2003	4	7	SPK00	0.65765
2003	4	8	SPK00	0.65829
2003	4	9	SPK00	0.65893
2003	4	10	SPK00	0.65957
2003	4	11	SPK00	0.65829
2003	4	12	SPK00	0.65957
2003	4	13	SPK00	0.65957
2003	4	14	SPK00	0.65829
2003	4	15	SPK00	0.65829
2003	4	16	SPK00	0.65893
2003	4	17	SPK00	0.66021
2003	4	18	SPK00	0.65893
2003	4	19	SPK00	0.65893
2003	4	20	SPK00	0.65893
2003	4	21	SPK00	0.65957
2003	4	22	SPK00	0.66085
2003	4	23	SPK00	0.66021
2003	4	24	SPK00	0.66149
2003	4	25	SPK00	0.66149
2003	4	26	SPK00	0.66149
2003	4	27	SPK00	0.66149
2003	4	28	SPK00	0.66213
2003	4	29	SPK00	0.66149
2003	4	30	SPK00	0.66149
2003	5	1	SPK00	0.66149
2003	5	2	SPK00	0.6634
2003	5	3	SPK00	0.66149
2003	5	4	SPK00	0.66149
2003	5	5	SPK00	0.66276
2003	5	6	SPK00	0.6634
2003	5	7	SPK00	0.66532
2003	5	8	SPK00	0.66596
2003	5	9	SPK00	0.6666
2003	5	10	SPK00	0.66596
