source	target	value	N
0	0	58	58
1	0	0	46
2	0	6	37
3	0	2	30
4	0	0	16
5	0	0	24
6	0	0	15
7	0	5	25
8	0	0	22
9	0	0	10
10	0	0	14
11	0	1	27
12	0	0	62
13	0	0	18
14	0	5	8
15	0	0	8
16	0	0	11
17	0	1	14
18	0	0	7
19	0	0	10
20	0	0	10
21	0	0	8
22	0	0	11
23	0	0	5
24	0	0	42
25	0	0	7
26	0	0	8
27	0	0	24
28	0	0	17
29	0	0	6
30	0	14	35
31	0	0	39
32	0	0	19
33	0	0	15
34	0	0	29
35	0	0	52
36	0	0	10
37	0	0	44
38	0	0	36
39	0	0	10
40	0	0	44
41	0	0	34
42	0	0	15
43	0	1	22
44	0	0	1
45	0	0	10
46	0	0	2
47	0	0	6
48	0	0	4
49	0	0	8
50	0	0	1
51	0	0	38
52	0	0	33
53	0	0	6
54	0	0	17
55	0	0	13
56	0	0	13
57	0	0	14
58	0	0	30
59	0	0	12
60	0	0	43
61	0	0	13
62	0	0	11
63	0	0	10
64	0	0	32
0	1	0	58
1	1	46	46
2	1	0	37
3	1	0	30
4	1	0	16
5	1	0	24
6	1	9	15
7	1	0	25
8	1	0	22
9	1	0	10
10	1	0	14
11	1	0	27
12	1	0	62
13	1	0	18
14	1	0	8
15	1	3	8
16	1	0	11
17	1	0	14
18	1	0	7
19	1	0	10
20	1	0	10
21	1	0	8
22	1	0	11
23	1	0	5
24	1	0	42
25	1	0	7
26	1	0	8
27	1	0	24
28	1	0	17
29	1	0	6
30	1	0	35
31	1	23	39
32	1	1	19
33	1	0	15
34	1	0	29
35	1	2	52
36	1	0	10
37	1	6	44
38	1	1	36
39	1	0	10
40	1	0	44
41	1	0	34
42	1	0	15
43	1	0	22
44	1	0	1
45	1	0	10
46	1	0	2
47	1	0	6
48	1	0	4
49	1	0	8
50	1	0	1
51	1	0	38
52	1	0	33
53	1	0	6
54	1	0	17
55	1	0	13
56	1	0	13
57	1	0	14
58	1	0	30
59	1	0	12
60	1	7	43
61	1	0	13
62	1	0	11
63	1	0	10
64	1	3	32
0	2	6	58
1	2	0	46
2	2	37	37
3	2	4	30
4	2	1	16
5	2	1	24
6	2	0	15
7	2	3	25
8	2	2	22
9	2	1	10
10	2	2	14
11	2	1	27
12	2	1	62
13	2	2	18
14	2	6	8
15	2	0	8
16	2	0	11
17	2	2	14
18	2	0	7
19	2	0	10
20	2	0	10
21	2	0	8
22	2	0	11
23	2	0	5
24	2	0	42
25	2	0	7
26	2	0	8
27	2	0	24
28	2	0	17
29	2	0	6
30	2	7	35
31	2	0	39
32	2	0	19
33	2	0	15
34	2	0	29
35	2	0	52
36	2	0	10
37	2	0	44
38	2	0	36
39	2	0	10
40	2	0	44
41	2	0	34
42	2	3	15
43	2	2	22
44	2	0	1
45	2	0	10
46	2	0	2
47	2	0	6
48	2	0	4
49	2	0	8
50	2	0	1
51	2	2	38
52	2	0	33
53	2	0	6
54	2	0	17
55	2	0	13
56	2	0	13
57	2	0	14
58	2	2	30
59	2	0	12
60	2	0	43
61	2	0	13
62	2	0	11
63	2	0	10
64	2	0	32
0	3	2	58
1	3	0	46
2	3	4	37
3	3	30	30
4	3	7	16
5	3	7	24
6	3	0	15
7	3	0	25
8	3	2	22
9	3	1	10
10	3	2	14
11	3	1	27
12	3	1	62
13	3	1	18
14	3	0	8
15	3	0	8
16	3	0	11
17	3	2	14
18	3	0	7
19	3	0	10
20	3	0	10
