year,month,party,membership,donation,government,loan,N
2013,3,kesk,13794,69947,347107,0,430848
2013,6,kesk,18841,20920,347107,0,386868
2013,9,kesk,15015,130849,347107,0,492971
2013,12,kesk,8365,72435,347107,0,427907
2014,3,kesk,12409,33766,347107,0,393282
2014,6,kesk,12604,60144,347107,0,419855
2014,9,kesk,8408,22716,347107,0,378231
2014,12,kesk,17568,36566,347107,0,401241
2015,3,kesk,7933,163436,347107,0,518476
2015,6,kesk,19149,50110,361738,0,430997
2015,9,kesk,14431,13634,361738,0,389803
2015,12,kesk,21016,17266,361738,0,400020
2013,3,ref,4816,62015,440558,0,507389
2013,6,ref,11509,69265,440558,0,521332
2013,9,ref,2074,194062,440558,0,636694
2013,12,ref,4172,172501,440558,0,617231
2014,3,ref,6889,74128,440558,0,521575
2014,6,ref,2991,138065,440558,0,581614
2014,9,ref,1861,127558,440558,0,569977
2014,12,ref,12859,124675,440558,0,578092
2015,3,ref,3112,399183,440558,0,842853
2015,6,ref,6393,71465,401932,0,479790
2015,9,ref,651,50169,401932,0,452752
2015,12,ref,2100,64063,401932,0,468095
2013,3,irl,3058,12175,307055,0,322288
2013,6,irl,1610,103905,307055,0,412570
2013,9,irl,3253,212835,307055,0,523143
2013,12,irl,3081,158531,307055,0,468667
2014,3,irl,6286,16471,307055,0,329812
2014,6,irl,887,67725,307055,0,375667
2014,9,irl,763,97167,307055,0,404985
2014,12,irl,2088,183095,307055,0,492238
2015,3,irl,1622,265472,307055,0,574149
2015,6,irl,4007,82971,187568,0,274546
2015,9,irl,548,71395,187568,0,259511
2015,12,irl,1967,74485,187568,0,264020
2013,3,sde,7066,17220,253655,0,277941
2013,6,sde,7967,20968,253655,0,282590
2013,9,sde,7268,90847,253655,0,351770
2013,12,sde,8920,109557,253655,0,372132
2014,3,sde,11512,22531,253655,0,287698
2014,6,sde,5480,21286,253655,0,280421
2014,9,sde,7061,61673,253655,0,322389
2014,12,sde,10001,98513,253655,0,362169
2015,3,sde,9273,274404,253655,150000,687332
2015,6,sde,7545,100481,200966,100000,308992
2015,9,sde,3836,51381,200966,0,256183
2015,12,sde,7194,37765,200966,0,245925
