year	month	day	symbol	nav
2003	1	7	SWK25	0.65318
2003	1	8	SWK25	0.65254
2003	1	9	SWK25	0.65126
2003	1	10	SWK25	0.6519
2003	1	11	SWK25	0.65126
2003	1	12	SWK25	0.65126
2003	1	13	SWK25	0.65126
2003	1	14	SWK25	0.65126
2003	1	15	SWK25	0.65126
2003	1	16	SWK25	0.65062
2003	1	17	SWK25	0.6487
2003	1	18	SWK25	0.65062
2003	1	19	SWK25	0.65062
2003	1	20	SWK25	0.6487
2003	1	21	SWK25	0.64743
2003	1	22	SWK25	0.64615
2003	1	23	SWK25	0.64743
2003	1	24	SWK25	0.64551
2003	1	25	SWK25	0.64743
2003	1	26	SWK25	0.64743
2003	1	27	SWK25	0.64295
2003	1	28	SWK25	0.64487
2003	1	29	SWK25	0.64487
2003	1	30	SWK25	0.64487
2003	1	31	SWK25	0.64679
2003	2	1	SWK25	0.64487
2003	2	2	SWK25	0.64487
2003	2	3	SWK25	0.64806
2003	2	4	SWK25	0.64743
2003	2	5	SWK25	0.64679
2003	2	6	SWK25	0.64679
2003	2	7	SWK25	0.64615
2003	2	8	SWK25	0.64679
2003	2	9	SWK25	0.64679
2003	2	10	SWK25	0.64743
2003	2	11	SWK25	0.6487
2003	2	12	SWK25	0.64806
2003	2	13	SWK25	0.64743
2003	2	14	SWK25	0.64743
2003	2	15	SWK25	0.64743
2003	2	16	SWK25	0.64743
2003	2	17	SWK25	0.64743
2003	2	18	SWK25	0.6487
2003	2	19	SWK25	0.6487
2003	2	20	SWK25	0.64743
2003	2	21	SWK25	0.64743
2003	2	22	SWK25	0.64743
2003	2	23	SWK25	0.64743
2003	2	24	SWK25	0.64743
2003	2	25	SWK25	0.64743
2003	2	26	SWK25	0.64615
2003	2	27	SWK25	0.64551
2003	2	28	SWK25	0.64743
2003	3	1	SWK25	0.64551
2003	3	2	SWK25	0.64551
2003	3	3	SWK25	0.64743
2003	3	4	SWK25	0.64551
2003	3	5	SWK25	0.64487
2003	3	6	SWK25	0.64487
2003	3	7	SWK25	0.64423
2003	3	8	SWK25	0.64487
2003	3	9	SWK25	0.64487
2003	3	10	SWK25	0.64231
2003	3	11	SWK25	0.64103
2003	3	12	SWK25	0.6404
2003	3	13	SWK25	0.64231
2003	3	14	SWK25	0.64423
2003	3	15	SWK25	0.64231
2003	3	16	SWK25	0.64231
2003	3	17	SWK25	0.64551
2003	3	18	SWK25	0.64679
2003	3	19	SWK25	0.64679
2003	3	20	SWK25	0.64679
2003	3	21	SWK25	0.64806
2003	3	22	SWK25	0.64679
2003	3	23	SWK25	0.64679
2003	3	24	SWK25	0.64615
2003	3	25	SWK25	0.64679
2003	3	26	SWK25	0.64743
2003	3	27	SWK25	0.64743
2003	3	28	SWK25	0.64806
2003	3	29	SWK25	0.64743
2003	3	30	SWK25	0.64743
2003	3	31	SWK25	0.64615
2003	4	1	SWK25	0.64679
2003	4	2	SWK25	0.64998
2003	4	3	SWK25	0.64998
2003	4	4	SWK25	0.65062
2003	4	5	SWK25	0.64998
2003	4	6	SWK25	0.64998
2003	4	7	SWK25	0.65254
2003	4	8	SWK25	0.65318
2003	4	9	SWK25	0.65254
2003	4	10	SWK25	0.6519
2003	4	11	SWK25	0.65126
2003	4	12	SWK25	0.6519
2003	4	13	SWK25	0.6519
2003	4	14	SWK25	0.65254
2003	4	15	SWK25	0.65446
2003	4	16	SWK25	0.65509
2003	4	17	SWK25	0.65573
2003	4	19	SWK25	0.65509
2003	4	20	SWK25	0.65509
2003	4	21	SWK25	0.65509
2003	4	22	SWK25	0.65701
2003	4	23	SWK25	0.65701
2003	4	24	SWK25	0.65573
2003	4	25	SWK25	0.65446
2003	4	26	SWK25	0.65573
2003	4	27	SWK25	0.65573
2003	4	28	SWK25	0.65509
2003	4	29	SWK25	0.65509
2003	4	30	SWK25	0.65573
2003	5	2	SWK25	0.65765
2003	5	3	SWK25	0.65573
2003	5	4	SWK25	0.65573
2003	5	5	SWK25	0.65829
2003	5	6	SWK25	0.65957
2003	5	7	SWK25	0.66085
2003	5	8	SWK25	0.65957
2003	5	9	SWK25	0.66276
2003	5	10	SWK25	0.65957
2003	5	11	SWK25	0.65957
2003	5	12	SWK25	0.66213
2003	5	13	SWK25	0.66276
2003	5	14	SWK25	0.6634
2003	5	15	SWK25	0.66468
2003	5	16	SWK25	0.66404
2003	5	17	SWK25	0.66468
2003	5	18	SWK25	0.66468
2003	5	19	SWK25	0.66276
2003	5	20	SWK25	0.6634
2003	5	21	SWK25	0.66276
2003	5	22	SWK25	0.66404
2003	5	23	SWK25	0.66468
